,Role,task,ratio
87,Volunteer,Nonfunctional,0.0
88,Volunteer,Perfective,0.4
89,Volunteer,Feature,0.3
90,Volunteer,Corrective,0.25
91,Volunteer,Nonfunctional,0.05
92,Volunteer,Perfective,0.9032258064516129
93,Volunteer,Feature,0.0967741935483871
94,Volunteer,Corrective,0.0
95,Volunteer,Nonfunctional,0.0
96,Paid developer,Perfective,0.43636363636363634
97,Paid developer,Feature,0.32727272727272727
98,Paid developer,Corrective,0.23636363636363636
99,Paid developer,Nonfunctional,0.0
100,Volunteer,Perfective,0.631578947368421
101,Volunteer,Feature,0.02631578947368421
102,Volunteer,Corrective,0.2631578947368421
103,Volunteer,Nonfunctional,0.07894736842105263
104,Paid developer,Perfective,0.1
105,Paid developer,Feature,0.5
106,Paid developer,Corrective,0.3
107,Paid developer,Nonfunctional,0.1
108,Volunteer,Perfective,0.42857142857142855
109,Volunteer,Feature,0.14285714285714285
110,Volunteer,Corrective,0.2857142857142857
111,Volunteer,Nonfunctional,0.14285714285714285
112,Volunteer,Perfective,0.78
113,Volunteer,Feature,0.08
114,Volunteer,Corrective,0.14
115,Volunteer,Nonfunctional,0.0
116,Volunteer,Perfective,0.7272727272727273
117,Volunteer,Feature,0.0
118,Volunteer,Corrective,0.2727272727272727
119,Volunteer,Nonfunctional,0.0
120,Volunteer,Perfective,0.6666666666666666
121,Volunteer,Feature,0.25
122,Volunteer,Corrective,0.08333333333333333
123,Volunteer,Nonfunctional,0.0
124,Volunteer,Perfective,0.5555555555555556
125,Volunteer,Feature,0.2222222222222222
126,Volunteer,Corrective,0.2222222222222222
127,Volunteer,Nonfunctional,0.0
128,Volunteer,Perfective,0.2727272727272727
129,Volunteer,Feature,0.21212121212121213
130,Volunteer,Corrective,0.30303030303030304
131,Volunteer,Nonfunctional,0.21212121212121213
132,Volunteer,Perfective,0.3888888888888889
133,Volunteer,Feature,0.05555555555555555
134,Volunteer,Corrective,0.3888888888888889
135,Volunteer,Nonfunctional,0.16666666666666666
136,Volunteer,Perfective,0.4838709677419355
137,Volunteer,Feature,0.25806451612903225
138,Volunteer,Corrective,0.25806451612903225
139,Volunteer,Nonfunctional,0.0
140,Volunteer,Perfective,0.5
141,Volunteer,Feature,0.07142857142857142
142,Volunteer,Corrective,0.35714285714285715
143,Volunteer,Nonfunctional,0.07142857142857142
144,Volunteer,Perfective,0.7027027027027027
145,Volunteer,Feature,0.21621621621621623
146,Volunteer,Corrective,0.08108108108108109
147,Volunteer,Nonfunctional,0.0
148,Volunteer,Perfective,0.6666666666666666
149,Volunteer,Feature,0.16666666666666666
150,Volunteer,Corrective,0.16666666666666666
151,Volunteer,Nonfunctional,0.0
152,Paid developer,Perfective,0.391304347826087
153,Paid developer,Feature,0.08695652173913043
154,Paid developer,Corrective,0.5217391304347826
155,Paid developer,Nonfunctional,0.0
156,Volunteer,Perfective,0.6060606060606061
157,Volunteer,Feature,0.24242424242424243
158,Volunteer,Corrective,0.15151515151515152
159,Volunteer,Nonfunctional,0.0
160,Volunteer,Perfective,0.3333333333333333
161,Volunteer,Feature,0.16666666666666666
162,Volunteer,Corrective,0.5
163,Volunteer,Nonfunctional,0.0
164,Volunteer,Perfective,0.48
165,Volunteer,Feature,0.36
166,Volunteer,Corrective,0.16
167,Volunteer,Nonfunctional,0.0
168,Volunteer,Perfective,0.5428571428571428
169,Volunteer,Feature,0.2
170,Volunteer,Corrective,0.14285714285714285
171,Volunteer,Nonfunctional,0.11428571428571428
172,Volunteer,Perfective,0.7272727272727273
173,Volunteer,Feature,0.18181818181818182
174,Volunteer,Corrective,0.09090909090909091
175,Volunteer,Nonfunctional,0.0
176,Volunteer,Perfective,0.2857142857142857
177,Volunteer,Feature,0.2857142857142857
178,Volunteer,Corrective,0.14285714285714285
179,Volunteer,Nonfunctional,0.2857142857142857
180,Volunteer,Perfective,0.7142857142857143
181,Volunteer,Feature,0.10714285714285714
182,Volunteer,Corrective,0.17857142857142858
183,Volunteer,Nonfunctional,0.0
184,Volunteer,Perfective,0.375
185,Volunteer,Feature,0.25
186,Volunteer,Corrective,0.25
187,Volunteer,Nonfunctional,0.125
188,Paid developer,Perfective,0.5
189,Paid developer,Feature,0.5
190,Paid developer,Corrective,0.0
191,Paid developer,Nonfunctional,0.0
192,Paid developer,Perfective,0.3333333333333333
193,Paid developer,Feature,0.4444444444444444
194,Paid developer,Corrective,0.1111111111111111
195,Paid developer,Nonfunctional,0.1111111111111111
196,Volunteer,Perfective,0.375
197,Volunteer,Feature,0.2916666666666667
198,Volunteer,Corrective,0.2916666666666667
199,Volunteer,Nonfunctional,0.041666666666666664
200,Volunteer,Perfective,0.5789473684210527
201,Volunteer,Feature,0.15789473684210525
202,Volunteer,Corrective,0.2631578947368421
203,Volunteer,Nonfunctional,0.0
204,Paid developer,Perfective,0.6428571428571429
205,Paid developer,Feature,0.14285714285714285
206,Paid developer,Corrective,0.21428571428571427
207,Paid developer,Nonfunctional,0.0
208,Volunteer,Perfective,0.5357142857142857
209,Volunteer,Feature,0.14285714285714285
210,Volunteer,Corrective,0.2857142857142857
211,Volunteer,Nonfunctional,0.03571428571428571
212,Volunteer,Perfective,0.8717948717948718
213,Volunteer,Feature,0.07692307692307693
214,Volunteer,Corrective,0.05128205128205128
215,Volunteer,Nonfunctional,0.0
216,Volunteer,Perfective,0.5609756097560976
217,Volunteer,Feature,0.36585365853658536
218,Volunteer,Corrective,0.07317073170731707
219,Volunteer,Nonfunctional,0.0
220,Volunteer,Perfective,0.7941176470588235
221,Volunteer,Feature,0.029411764705882353
222,Volunteer,Corrective,0.17647058823529413
223,Volunteer,Nonfunctional,0.0
224,Volunteer,Perfective,0.8787878787878788
225,Volunteer,Feature,0.030303030303030304
226,Volunteer,Corrective,0.06060606060606061
227,Volunteer,Nonfunctional,0.030303030303030304
228,Volunteer,Perfective,0.9411764705882353
229,Volunteer,Feature,0.058823529411764705
230,Volunteer,Corrective,0.0
231,Volunteer,Nonfunctional,0.0
232,Volunteer,Perfective,0.3333333333333333
233,Volunteer,Feature,0.5555555555555556
234,Volunteer,Corrective,0.1111111111111111
235,Volunteer,Nonfunctional,0.0
236,Volunteer,Perfective,0.8333333333333334
237,Volunteer,Feature,0.16666666666666666
238,Volunteer,Corrective,0.0
239,Volunteer,Nonfunctional,0.0
240,Volunteer,Perfective,0.5833333333333334
241,Volunteer,Feature,0.3333333333333333
242,Volunteer,Corrective,0.08333333333333333
243,Volunteer,Nonfunctional,0.0
244,Volunteer,Perfective,0.3333333333333333
245,Volunteer,Feature,0.5
246,Volunteer,Corrective,0.0
247,Volunteer,Nonfunctional,0.16666666666666666
248,Volunteer,Perfective,0.71875
249,Volunteer,Feature,0.1875
250,Volunteer,Corrective,0.0625
251,Volunteer,Nonfunctional,0.03125
252,Volunteer,Perfective,0.7142857142857143
253,Volunteer,Feature,0.23809523809523808
254,Volunteer,Corrective,0.047619047619047616
255,Volunteer,Nonfunctional,0.0
256,Volunteer,Perfective,0.375
257,Volunteer,Feature,0.0
258,Volunteer,Corrective,0.5
259,Volunteer,Nonfunctional,0.125
260,Volunteer,Perfective,0.3333333333333333
261,Volunteer,Feature,0.2
262,Volunteer,Corrective,0.4
263,Volunteer,Nonfunctional,0.06666666666666667
264,Volunteer,Perfective,0.8113207547169812
265,Volunteer,Feature,0.09433962264150944
266,Volunteer,Corrective,0.09433962264150944
267,Volunteer,Nonfunctional,0.0
268,Volunteer,Perfective,0.7272727272727273
269,Volunteer,Feature,0.1590909090909091
270,Volunteer,Corrective,0.09090909090909091
271,Volunteer,Nonfunctional,0.022727272727272728
272,Paid developer,Perfective,0.125
273,Paid developer,Feature,0.375
274,Paid developer,Corrective,0.4375
275,Paid developer,Nonfunctional,0.0625
276,Volunteer,Perfective,0.5
277,Volunteer,Feature,0.2
278,Volunteer,Corrective,0.2
279,Volunteer,Nonfunctional,0.1
280,Volunteer,Perfective,0.5471698113207547
281,Volunteer,Feature,0.09433962264150944
282,Volunteer,Corrective,0.24528301886792453
283,Volunteer,Nonfunctional,0.11320754716981132
284,Volunteer,Perfective,0.3333333333333333
285,Volunteer,Feature,0.2777777777777778
286,Volunteer,Corrective,0.3888888888888889
287,Volunteer,Nonfunctional,0.0
288,Volunteer,Perfective,0.7291666666666666
289,Volunteer,Feature,0.10416666666666667
290,Volunteer,Corrective,0.14583333333333334
291,Volunteer,Nonfunctional,0.020833333333333332
292,Volunteer,Perfective,0.8064516129032258
293,Volunteer,Feature,0.0967741935483871
294,Volunteer,Corrective,0.06451612903225806
295,Volunteer,Nonfunctional,0.03225806451612903
296,Volunteer,Perfective,0.625
297,Volunteer,Feature,0.25
298,Volunteer,Corrective,0.125
299,Volunteer,Nonfunctional,0.0
300,Volunteer,Perfective,0.5
301,Volunteer,Feature,0.25
302,Volunteer,Corrective,0.25
303,Volunteer,Nonfunctional,0.0
304,Volunteer,Perfective,0.5370370370370371
305,Volunteer,Feature,0.2037037037037037
306,Volunteer,Corrective,0.25925925925925924
307,Volunteer,Nonfunctional,0.0
308,Volunteer,Perfective,0.5
309,Volunteer,Feature,0.375
310,Volunteer,Corrective,0.125
311,Volunteer,Nonfunctional,0.0
312,Volunteer,Perfective,0.3888888888888889
313,Volunteer,Feature,0.19444444444444445
314,Volunteer,Corrective,0.3611111111111111
315,Volunteer,Nonfunctional,0.05555555555555555
316,Paid developer,Perfective,0.6086956521739131
317,Paid developer,Feature,0.15217391304347827
318,Paid developer,Corrective,0.1956521739130435
319,Paid developer,Nonfunctional,0.043478260869565216
320,Volunteer,Perfective,0.5
321,Volunteer,Feature,0.5
322,Volunteer,Corrective,0.0
323,Volunteer,Nonfunctional,0.0
324,Volunteer,Perfective,0.6304347826086957
325,Volunteer,Feature,0.2391304347826087
326,Volunteer,Corrective,0.13043478260869565
327,Volunteer,Nonfunctional,0.0
328,Volunteer,Perfective,0.6666666666666666
329,Volunteer,Feature,0.08333333333333333
330,Volunteer,Corrective,0.16666666666666666
331,Volunteer,Nonfunctional,0.08333333333333333
332,Volunteer,Perfective,0.625
333,Volunteer,Feature,0.25
334,Volunteer,Corrective,0.125
335,Volunteer,Nonfunctional,0.0
336,Volunteer,Perfective,0.375
337,Volunteer,Feature,0.375
338,Volunteer,Corrective,0.25
339,Volunteer,Nonfunctional,0.0
340,Volunteer,Perfective,0.5
341,Volunteer,Feature,0.21875
342,Volunteer,Corrective,0.25
343,Volunteer,Nonfunctional,0.03125
344,Volunteer,Perfective,0.625
345,Volunteer,Feature,0.25
346,Volunteer,Corrective,0.125
347,Volunteer,Nonfunctional,0.0
348,Volunteer,Perfective,0.8
349,Volunteer,Feature,0.1
350,Volunteer,Corrective,0.1
351,Volunteer,Nonfunctional,0.0
352,Volunteer,Perfective,0.5714285714285714
353,Volunteer,Feature,0.42857142857142855
354,Volunteer,Corrective,0.0
355,Volunteer,Nonfunctional,0.0
356,Volunteer,Perfective,0.9230769230769231
357,Volunteer,Feature,0.0
358,Volunteer,Corrective,0.038461538461538464
359,Volunteer,Nonfunctional,0.038461538461538464
360,Volunteer,Perfective,0.5581395348837209
361,Volunteer,Feature,0.3023255813953488
362,Volunteer,Corrective,0.09302325581395349
363,Volunteer,Nonfunctional,0.046511627906976744
364,Volunteer,Perfective,0.5
365,Volunteer,Feature,0.125
366,Volunteer,Corrective,0.375
367,Volunteer,Nonfunctional,0.0
368,Volunteer,Perfective,0.6774193548387096
369,Volunteer,Feature,0.22580645161290322
370,Volunteer,Corrective,0.03225806451612903
371,Volunteer,Nonfunctional,0.06451612903225806
372,Volunteer,Perfective,0.45454545454545453
373,Volunteer,Feature,0.36363636363636365
374,Volunteer,Corrective,0.09090909090909091
375,Volunteer,Nonfunctional,0.09090909090909091
376,Volunteer,Perfective,0.6818181818181818
377,Volunteer,Feature,0.22727272727272727
378,Volunteer,Corrective,0.09090909090909091
379,Volunteer,Nonfunctional,0.0
380,Volunteer,Perfective,0.8181818181818182
381,Volunteer,Feature,0.0
382,Volunteer,Corrective,0.18181818181818182
383,Volunteer,Nonfunctional,0.0
384,Volunteer,Perfective,0.7358490566037735
385,Volunteer,Feature,0.18867924528301888
386,Volunteer,Corrective,0.07547169811320754
387,Volunteer,Nonfunctional,0.0
388,Paid developer,Perfective,0.125
389,Paid developer,Feature,0.5
390,Paid developer,Corrective,0.25
391,Paid developer,Nonfunctional,0.125
392,Volunteer,Perfective,0.5
393,Volunteer,Feature,0.3333333333333333
394,Volunteer,Corrective,0.16666666666666666
395,Volunteer,Nonfunctional,0.0
396,Volunteer,Perfective,0.45454545454545453
397,Volunteer,Feature,0.45454545454545453
398,Volunteer,Corrective,0.09090909090909091
399,Volunteer,Nonfunctional,0.0
400,Volunteer,Perfective,0.5185185185185185
401,Volunteer,Feature,0.25925925925925924
402,Volunteer,Corrective,0.2222222222222222
403,Volunteer,Nonfunctional,0.0
404,Paid developer,Perfective,0.125
405,Paid developer,Feature,0.875
406,Paid developer,Corrective,0.0
407,Paid developer,Nonfunctional,0.0
408,Paid developer,Perfective,0.3333333333333333
409,Paid developer,Feature,0.6666666666666666
410,Paid developer,Corrective,0.0
411,Paid developer,Nonfunctional,0.0
412,Volunteer,Perfective,0.8421052631578947
413,Volunteer,Feature,0.15789473684210525
414,Volunteer,Corrective,0.0
415,Volunteer,Nonfunctional,0.0
416,Volunteer,Perfective,0.5641025641025641
417,Volunteer,Feature,0.38461538461538464
418,Volunteer,Corrective,0.0
419,Volunteer,Nonfunctional,0.05128205128205128
420,Volunteer,Perfective,0.6666666666666666
421,Volunteer,Feature,0.06666666666666667
422,Volunteer,Corrective,0.26666666666666666
423,Volunteer,Nonfunctional,0.0
424,Volunteer,Perfective,0.875
425,Volunteer,Feature,0.0
426,Volunteer,Corrective,0.125
427,Volunteer,Nonfunctional,0.0
428,Volunteer,Perfective,0.7777777777777778
429,Volunteer,Feature,0.1111111111111111
430,Volunteer,Corrective,0.1111111111111111
431,Volunteer,Nonfunctional,0.0
432,Volunteer,Perfective,0.8571428571428571
433,Volunteer,Feature,0.14285714285714285
434,Volunteer,Corrective,0.0
435,Volunteer,Nonfunctional,0.0
436,Volunteer,Perfective,0.45454545454545453
437,Volunteer,Feature,0.09090909090909091
438,Volunteer,Corrective,0.45454545454545453
439,Volunteer,Nonfunctional,0.0
440,Volunteer,Perfective,0.5555555555555556
441,Volunteer,Feature,0.1111111111111111
442,Volunteer,Corrective,0.3333333333333333
443,Volunteer,Nonfunctional,0.0
444,Volunteer,Perfective,0.6666666666666666
445,Volunteer,Feature,0.0
446,Volunteer,Corrective,0.3333333333333333
447,Volunteer,Nonfunctional,0.0
448,Paid developer,Perfective,0.375
449,Paid developer,Feature,0.0
450,Paid developer,Corrective,0.25
451,Paid developer,Nonfunctional,0.375
452,Volunteer,Perfective,0.8
453,Volunteer,Feature,0.16666666666666666
454,Volunteer,Corrective,0.03333333333333333
455,Volunteer,Nonfunctional,0.0
456,Volunteer,Perfective,0.3333333333333333
457,Volunteer,Feature,0.16666666666666666
458,Volunteer,Corrective,0.5
459,Volunteer,Nonfunctional,0.0
460,Volunteer,Perfective,0.0
461,Volunteer,Feature,0.42857142857142855
462,Volunteer,Corrective,0.0
463,Volunteer,Nonfunctional,0.5714285714285714
464,Volunteer,Perfective,1.0
465,Volunteer,Feature,0.0
466,Volunteer,Corrective,0.0
467,Volunteer,Nonfunctional,0.0
468,Volunteer,Perfective,0.7407407407407407
469,Volunteer,Feature,0.18518518518518517
470,Volunteer,Corrective,0.07407407407407407
471,Volunteer,Nonfunctional,0.0
472,Volunteer,Perfective,0.7272727272727273
473,Volunteer,Feature,0.2727272727272727
474,Volunteer,Corrective,0.0
475,Volunteer,Nonfunctional,0.0
476,Volunteer,Perfective,0.875
477,Volunteer,Feature,0.125
478,Volunteer,Corrective,0.0
479,Volunteer,Nonfunctional,0.0
480,Volunteer,Perfective,0.09090909090909091
481,Volunteer,Feature,0.5
482,Volunteer,Corrective,0.36363636363636365
483,Volunteer,Nonfunctional,0.045454545454545456
484,Volunteer,Perfective,0.3333333333333333
485,Volunteer,Feature,0.1111111111111111
486,Volunteer,Corrective,0.5555555555555556
487,Volunteer,Nonfunctional,0.0
488,Volunteer,Perfective,0.39473684210526316
489,Volunteer,Feature,0.2631578947368421
490,Volunteer,Corrective,0.34210526315789475
491,Volunteer,Nonfunctional,0.0
492,Paid developer,Perfective,0.7647058823529411
493,Paid developer,Feature,0.23529411764705882
494,Paid developer,Corrective,0.0
495,Paid developer,Nonfunctional,0.0
496,Volunteer,Perfective,0.5
497,Volunteer,Feature,0.125
498,Volunteer,Corrective,0.3125
499,Volunteer,Nonfunctional,0.0625
500,Volunteer,Perfective,0.7142857142857143
501,Volunteer,Feature,0.14285714285714285
502,Volunteer,Corrective,0.14285714285714285
503,Volunteer,Nonfunctional,0.0
504,Volunteer,Perfective,0.6666666666666666
505,Volunteer,Feature,0.1111111111111111
506,Volunteer,Corrective,0.1111111111111111
507,Volunteer,Nonfunctional,0.1111111111111111
508,Volunteer,Perfective,0.4318181818181818
509,Volunteer,Feature,0.25
510,Volunteer,Corrective,0.22727272727272727
511,Volunteer,Nonfunctional,0.09090909090909091
512,Volunteer,Perfective,0.5
513,Volunteer,Feature,0.0
514,Volunteer,Corrective,0.5
515,Volunteer,Nonfunctional,0.0
516,Volunteer,Perfective,0.625
517,Volunteer,Feature,0.125
518,Volunteer,Corrective,0.0
519,Volunteer,Nonfunctional,0.25
520,Volunteer,Perfective,0.13333333333333333
521,Volunteer,Feature,0.26666666666666666
522,Volunteer,Corrective,0.6
523,Volunteer,Nonfunctional,0.0
524,Volunteer,Perfective,0.5
525,Volunteer,Feature,0.3333333333333333
526,Volunteer,Corrective,0.0
527,Volunteer,Nonfunctional,0.16666666666666666
528,Volunteer,Perfective,0.42857142857142855
529,Volunteer,Feature,0.42857142857142855
530,Volunteer,Corrective,0.14285714285714285
531,Volunteer,Nonfunctional,0.0
532,Volunteer,Perfective,0.5454545454545454
533,Volunteer,Feature,0.2727272727272727
534,Volunteer,Corrective,0.18181818181818182
535,Volunteer,Nonfunctional,0.0
536,Paid developer,Perfective,0.5384615384615384
537,Paid developer,Feature,0.3076923076923077
538,Paid developer,Corrective,0.07692307692307693
539,Paid developer,Nonfunctional,0.07692307692307693
540,Volunteer,Perfective,0.375
541,Volunteer,Feature,0.25
542,Volunteer,Corrective,0.25
543,Volunteer,Nonfunctional,0.125
544,Volunteer,Perfective,0.8333333333333334
545,Volunteer,Feature,0.08333333333333333
546,Volunteer,Corrective,0.08333333333333333
547,Volunteer,Nonfunctional,0.0
548,Volunteer,Perfective,0.5454545454545454
549,Volunteer,Feature,0.2727272727272727
550,Volunteer,Corrective,0.18181818181818182
551,Volunteer,Nonfunctional,0.0
552,Volunteer,Perfective,0.7692307692307693
553,Volunteer,Feature,0.0
554,Volunteer,Corrective,0.23076923076923078
555,Volunteer,Nonfunctional,0.0
556,Volunteer,Perfective,0.2857142857142857
557,Volunteer,Feature,0.5714285714285714
558,Volunteer,Corrective,0.14285714285714285
559,Volunteer,Nonfunctional,0.0
560,Volunteer,Perfective,0.5208333333333334
561,Volunteer,Feature,0.22916666666666666
562,Volunteer,Corrective,0.20833333333333334
563,Volunteer,Nonfunctional,0.041666666666666664
564,Volunteer,Perfective,0.36666666666666664
565,Volunteer,Feature,0.26666666666666666
566,Volunteer,Corrective,0.36666666666666664
567,Volunteer,Nonfunctional,0.0
568,Volunteer,Perfective,0.3333333333333333
569,Volunteer,Feature,0.1111111111111111
570,Volunteer,Corrective,0.5555555555555556
571,Volunteer,Nonfunctional,0.0
572,Volunteer,Perfective,0.5652173913043478
573,Volunteer,Feature,0.30434782608695654
574,Volunteer,Corrective,0.13043478260869565
575,Volunteer,Nonfunctional,0.0
576,Volunteer,Perfective,0.5277777777777778
577,Volunteer,Feature,0.3055555555555556
578,Volunteer,Corrective,0.16666666666666666
579,Volunteer,Nonfunctional,0.0
580,Volunteer,Perfective,0.4074074074074074
581,Volunteer,Feature,0.2962962962962963
582,Volunteer,Corrective,0.25925925925925924
583,Volunteer,Nonfunctional,0.037037037037037035
584,Paid developer,Perfective,0.7058823529411765
585,Paid developer,Feature,0.11764705882352941
586,Paid developer,Corrective,0.17647058823529413
587,Paid developer,Nonfunctional,0.0
588,Volunteer,Perfective,0.6666666666666666
589,Volunteer,Feature,0.3333333333333333
590,Volunteer,Corrective,0.0
591,Volunteer,Nonfunctional,0.0
592,Volunteer,Perfective,0.0
593,Volunteer,Feature,0.0
594,Volunteer,Corrective,1.0
595,Volunteer,Nonfunctional,0.0
596,Volunteer,Perfective,0.5526315789473685
597,Volunteer,Feature,0.18421052631578946
598,Volunteer,Corrective,0.23684210526315788
599,Volunteer,Nonfunctional,0.02631578947368421
600,Volunteer,Perfective,0.625
601,Volunteer,Feature,0.0
602,Volunteer,Corrective,0.25
603,Volunteer,Nonfunctional,0.125
604,Volunteer,Perfective,0.6111111111111112
605,Volunteer,Feature,0.16666666666666666
606,Volunteer,Corrective,0.2222222222222222
607,Volunteer,Nonfunctional,0.0
608,Volunteer,Perfective,0.41509433962264153
609,Volunteer,Feature,0.39622641509433965
610,Volunteer,Corrective,0.1509433962264151
611,Volunteer,Nonfunctional,0.03773584905660377
612,Volunteer,Perfective,0.7692307692307693
613,Volunteer,Feature,0.23076923076923078
614,Volunteer,Corrective,0.0
615,Volunteer,Nonfunctional,0.0
616,Volunteer,Perfective,0.6666666666666666
617,Volunteer,Feature,0.2
618,Volunteer,Corrective,0.13333333333333333
619,Volunteer,Nonfunctional,0.0
620,Volunteer,Perfective,0.4
621,Volunteer,Feature,0.3
622,Volunteer,Corrective,0.2
623,Volunteer,Nonfunctional,0.1
624,Volunteer,Perfective,0.5
625,Volunteer,Feature,0.3333333333333333
626,Volunteer,Corrective,0.16666666666666666
627,Volunteer,Nonfunctional,0.0
628,Volunteer,Perfective,0.8571428571428571
629,Volunteer,Feature,0.14285714285714285
630,Volunteer,Corrective,0.0
631,Volunteer,Nonfunctional,0.0
632,Volunteer,Perfective,0.5
633,Volunteer,Feature,0.1111111111111111
634,Volunteer,Corrective,0.2222222222222222
635,Volunteer,Nonfunctional,0.16666666666666666
636,Volunteer,Perfective,0.4444444444444444
637,Volunteer,Feature,0.28888888888888886
638,Volunteer,Corrective,0.17777777777777778
639,Volunteer,Nonfunctional,0.08888888888888889
640,Volunteer,Perfective,0.6666666666666666
641,Volunteer,Feature,0.1111111111111111
642,Volunteer,Corrective,0.2222222222222222
643,Volunteer,Nonfunctional,0.0
644,Volunteer,Perfective,0.38235294117647056
645,Volunteer,Feature,0.4411764705882353
646,Volunteer,Corrective,0.17647058823529413
647,Volunteer,Nonfunctional,0.0
648,Volunteer,Perfective,0.8571428571428571
649,Volunteer,Feature,0.14285714285714285
650,Volunteer,Corrective,0.0
651,Volunteer,Nonfunctional,0.0
652,Volunteer,Perfective,0.5
653,Volunteer,Feature,0.08333333333333333
654,Volunteer,Corrective,0.4166666666666667
655,Volunteer,Nonfunctional,0.0
656,Volunteer,Perfective,0.6666666666666666
657,Volunteer,Feature,0.3333333333333333
658,Volunteer,Corrective,0.0
659,Volunteer,Nonfunctional,0.0
660,Volunteer,Perfective,0.2857142857142857
661,Volunteer,Feature,0.42857142857142855
662,Volunteer,Corrective,0.2857142857142857
663,Volunteer,Nonfunctional,0.0
664,Volunteer,Perfective,0.6
665,Volunteer,Feature,0.0
666,Volunteer,Corrective,0.0
667,Volunteer,Nonfunctional,0.4
668,Volunteer,Perfective,0.5
669,Volunteer,Feature,0.5
670,Volunteer,Corrective,0.0
671,Volunteer,Nonfunctional,0.0
672,Volunteer,Perfective,0.0
673,Volunteer,Feature,0.4444444444444444
674,Volunteer,Corrective,0.4444444444444444
675,Volunteer,Nonfunctional,0.1111111111111111
676,Paid developer,Perfective,0.7368421052631579
677,Paid developer,Feature,0.05263157894736842
678,Paid developer,Corrective,0.21052631578947367
679,Paid developer,Nonfunctional,0.0
680,Volunteer,Perfective,0.4
681,Volunteer,Feature,0.2
682,Volunteer,Corrective,0.4
683,Volunteer,Nonfunctional,0.0
